,"Crop And Animal Production, Hunting And Related Service Activities  ",Forestry And Logging  ,Fishing And Aquaculture  ,Mining Of Coal And Lignite  ,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Other Mining And Quarrying  ,Mining Support Service Activities  ,Processing and preserving of meat and production of meat products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",Manufacture of vegetable and animal oils and fats,Manufacture of dairy products,"Manufacture of grain mill products, starches and starch products",Manufacture of bakery and farinaceous products,Manufacture of other food products,Manufacture of prepared animal feeds,Manufacture of alcoholic beverages  & Tobacco Products,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture Of Textiles  ,Manufacture Of Wearing Apparel  ,Manufacture Of Leather And Related Products  ,"Manufacture Of Wood & Products Of Wood & Cork, Except Furniture; Manuf. Of Articles Of Straw",Manufacture Of Paper And Paper Products  ,Printing And Reproduction Of Recorded Media  ,Manufacture Of Coke And Refined Petroleum Products  ,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations",Manufacture of other chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",Manufacture of petrochemicals - 20.14/16/17/60,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,Manufacture Of Rubber And Plastic Products  ,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","Manufacture of glass, refractory, clay, porcelain, ceramic, stone products - 23.1-4/7-9",Manufacture of basic iron and steel,Manufacture of other basic metals and casting,Manufacture of weapons and ammunition,"Manufacture of fabricated metal products, excluding weapons & ammunition - 25.1-3/5-9","Manufacture Of Computer, Electronic And Optical Products  ",Manufacture Of Electrical Equipment  ,Manufacture Of Machinery And Equipment N.E.C.  ,"Manufacture Of Motor Vehicles, Trailers And Semi-Trailers  ",Building of ships and boats,Manufacture of air and spacecraft and related machinery,Manufacture of other transport equipment - 30.2/4/9,Manufacture Of Furniture  ,Other Manufacturing  ,Repair and maintenance of ships and boats,Repair and maintenance of aircraft and spacecraft,Rest of repair; Installation - 33.11-14/17/19/20,"Electric power generation, transmission and distribution",Manufacture of gas; distribution of gaseous fuels through mains; steam and aircon supply,"Water Collection, Treatment And Supply  ",Sewerage  ,"Waste Collection, Treatment And Disposal Activities; Materials Recovery  ",Remediation Activities And Other Waste Management Services  ,Construction,Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles  ,"Wholesale Trade, Except Of Motor Vehicles And Motorcycles  ","Retail Trade, Except Of Motor Vehicles And Motorcycles  ",Rail transport,"Land transport services and transport services via pipelines, excluding rail transport",Water Transport  ,Air Transport  ,Warehousing And Support Activities For Transportation  ,Postal And Courier Activities  ,Accommodation  ,Food And Beverage Service Activities  ,Publishing Activities  ,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Telecommunications  ,"Computer Programming, Consultancy And Related Activities  ",Information Service Activities  ,"Financial Service Activities, Except Insurance And Pension Funding  ","Insurance, reinsurance and pension funding services, except compulsory social security",Activities Auxiliary To Financial Services And Insurance Activities  ,Real estate services on a fee or contract basis  ,Owner-Occupiers' Housing,"Buying and selling, renting and operating of own or leased real estate, excluding imputed rent",Legal activities  ,"Accounting, bookkeeping and auditing activities; tax consultancy  ",Activities Of Head Offices; Management Consultancy Activities  ,Architectural And Engineering Activities; Technical Testing And Analysis  ,Scientific Research And Development  ,Advertising And Market Research  ,"Other Professional, Scientific And Technical Activities  ",Veterinary Activities  ,Rental And Leasing Activities  ,Employment Activities  ,"Travel Agency, Tour Operator And Other Reservation Service And Related Activities  ",Security And Investigation Activities  ,Services To Buildings And Landscape Activities  ,"Office Administrative, Office Support And Other Business Support Activities  ",Public Administration And Defence; Compulsory Social Security  ,Education  ,Human Health Activities,Residential Care  & Social Work Activities,"Creative, Arts And Entertainment Activities  ","Libraries, Archives, Museums And Other Cultural Activities  ",Gambling And Betting Activities  ,Sports Activities And Amusement And Recreation Activities  ,Activities Of Membership Organisations  ,Repair Of Computers And Personal And Household Goods  ,Other Personal Service Activities  ,Activities Of Households As Employers Of Domestic Personnel  
Ships and boats             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air and spacecraft and related machinery          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,1,1,10,4,13,5,3,21,19,0,"1,581",2,2,1,0,47,2,0,0,0,0,0,0,3,0,9,1,0,7,0,545,0,0,0,12,0,0,0,8,0,1,0,1,0,0,9,1,1,0,13,109,0,3,0,2,0,0,0,0,4,"1,012",0,0,0,1,1,0,0,0,0,0,0
Other transport equipment - 30.2/4/9           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,4,0,0,0,169,0,0,0,1,334,0,0,0,0,0,0,1,0,43,0,16,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,8,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Furniture               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,4,0,0,0,96,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other manufactured goods             ,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,7,6,2,1,2,5,0,0,2,3,0,2,0,36,8,1,1,0,1,0,7,12,6,13,5,0,0,0,2,132,0,0,9,0,0,0,0,1,0,4,0,22,4,0,2,0,0,0,0,0,6,2,0,0,20,0,84,0,1,1,0,5,0,0,19,1,12,18,7,0,3,0,0,0,2,67,0,1,844,0,1,0,0,0,0,1,12,0
Repair and maintenance of ships and boats         ,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,102,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Repair and maintenance of aircraft and spacecraft         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,252,0,0,0,0,0,0,0,0,0,5,2,0,0,0,859,0,0,0,6,0,0,0,4,0,0,0,0,0,0,7,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rest of repair; Installation - 33.11-14/17/19/20          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,226,0,0,0,0,0,0,1,0,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity, transmission and distribution",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,032",180,0,0,0,0,11,0,0,1,0,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Gas; distribution of gaseous fuels through mains; steam and air conditioning supply    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural water; water treatment and supply services         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sewerage services; sewage sludge            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Waste collection, treatment and disposal services; materials recovery services       ",1,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,3,2,0,3,7,0,0,0,0,1,0,10,9,0,23,22,8,64,39,0,3,0,0,5,2,0,1,0,0,4,0,0,1,444,77,0,0,"2,005",0,37,1,124,2,0,47,0,0,2,0,0,17,0,0,0,10,1,50,0,8,0,0,40,3,4,22,9,3,2,5,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0
Remediation services and other waste management services         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Construction,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,136,0,0,5,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,"1,427",0,5,1,0,0,0,0,0,0,1,15,0,0,0,7,2,0,363,0,0,0,38,0,0,2,55,3,0,6,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,19,0
Wholesale and retail trade and repair services of motor vehicles and motorcycles    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wholesale trade services, except of motor vehicles and motorcycles       ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Retail trade services, except of motor vehicles and motorcycles       ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rail transport services             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Land transport services and transport services via pipelines, excluding rail transport     ",16,0,0,2,28,9,2,9,6,4,4,2,1,7,1,6,1,15,21,6,7,23,2,7,3,7,10,3,27,2,13,17,2,6,7,18,1,14,66,21,43,48,0,15,2,4,16,0,4,35,2,0,0,0,2,0,1,0,15,0,0,3,9,101,0,0,0,6,3,0,0,2,0,0,0,0,0,0,4,0,0,0,2,12,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0
Water transport services             ,0,0,3,0,44,21,0,1,0,1,1,5,0,1,0,8,0,0,0,0,0,1,1,23,0,3,0,0,3,0,3,7,5,12,20,1,2,19,18,6,3,48,0,2,2,2,2,0,0,12,0,0,0,0,0,0,5,0,10,8,0,2,"1,589",0,1,1,0,19,0,0,0,3,0,1,0,1,0,0,5,0,0,0,1,5,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Air transport services             ,0,0,0,0,19,3,0,0,0,0,0,0,0,1,0,4,0,7,0,0,0,2,0,3,0,0,0,0,0,0,7,2,1,0,9,0,1,3,17,6,1,3,0,19,2,6,5,0,0,7,0,0,0,0,4,0,0,1,3,1,0,1,0,581,1,0,0,6,0,0,0,3,0,0,0,0,0,0,5,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warehousing and support services for transportation          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,0,"1,056",285,0,0,0,13,0,0,0,3,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postal and courier services            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,4,30,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,2,0,0,2,5,0,526,0,7,1,0,97,20,4,0,597,0,0,0,63,0,0,2,0,3,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Accommodation services              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,410,0,0,0,2,0,0,0,4,1,0,210,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food and beverage serving services           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46,279,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Publishing services              ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,8,14,0,0,0,0,1,0,0,9,320,0,0,52,0,6,0,0,0,0,2,0,0,3,0,4,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,7,49,0,0,0,1,0,0,0,20,21,"2,579",0,40,0,0,0,0,0,0,14,0,0,3,0,6,641,0,0,0,0,0,0,0,1,1,3,0,1,28,38,68,53,0,0,0,0
Telecommunications services              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,165,82,0,0,7,31,0,14,0,23,3,0,"3,830",134,2,1,307,1,0,0,37,0,0,0,0,59,1,2,0,6,15,0,2,3,23,0,0,0,0,0,0,0,0,0,0,0,0
"Computer programming, consultancy and related services          ",3,0,0,0,1,0,0,5,1,0,1,1,6,43,0,0,0,10,1,6,0,1,12,0,0,3,2,11,4,6,1,53,0,1,2,0,1,82,253,4,8,34,0,0,14,1,18,0,0,76,0,0,0,0,0,0,26,9,801,3,0,0,0,0,0,0,0,36,199,1,111,"2,086",143,0,481,0,0,0,83,0,20,137,52,88,21,58,0,9,126,0,20,25,120,5,3,0,0,0,0,0,9,0,35,112,0
Information services              ,0,0,0,0,0,0,0,1,0,0,0,0,2,8,0,0,0,4,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,75,2,2,17,0,0,0,0,3,0,0,17,0,0,0,0,0,0,9,6,619,3,0,0,0,1,0,0,0,15,89,0,66,793,105,0,0,0,0,0,10,0,9,96,26,37,67,32,0,4,12,0,9,0,81,0,2,0,0,0,0,0,4,0,18,84,0
"Financial services, except insurance and pension funding         ",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,16,1,32,0,0,1,0,0,61,1,2,6,508,0,0,0,0,1,0,0,6,317,55,0,0,0,0,359,6,488,517,0,3,0,0,0,0,30,151,2,0,0,99,17,"4,347",307,20,0,0,"1,711",11,87,299,28,75,25,107,0,48,243,0,40,48,276,"1,322",355,0,0,0,3,2,52,0,0,0,0
"Insurance, reinsurance and pension funding services, except compulsory social security",6,0,0,0,0,0,0,3,1,0,0,0,3,28,0,0,0,0,0,0,24,0,1,0,0,2,1,5,2,17,1,38,0,0,2,0,0,118,22,3,7,40,0,0,9,2,11,0,0,52,0,0,0,0,0,0,4,0,59,0,0,1,0,0,0,0,0,3,0,0,0,19,8,0,"1,575",0,0,0,162,0,0,20,35,8,2,12,0,4,20,0,3,5,20,1,0,0,0,0,0,0,4,0,3,53,0
Services auxiliary to financial services and insurance services        ,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,4,0,0,1,0,0,1,1,9,1,3,5,2,9,0,1,3,8,3,4,1,1,4,12,4,4,12,1,4,2,0,2,0,0,4,0,2,1,2,18,0,88,11,138,67,4,13,74,40,10,10,2,27,14,2,28,181,11,899,"1,651","1,563",3,0,217,47,10,48,130,24,13,31,0,50,66,1,4,22,86,3,9,1,0,2,0,3,2,0,3,8,0
Real estate services on a fee or contract basis       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,1,0,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owner-Occupiers' Housing Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Real estate services, excluding on a fee or contract basis and imputed rent   ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,171,0,0,1,18,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Legal services              ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,34,5,0,0,1,0,0,0,0,0,3,1,5,0,3,3,0,0,0,0,23,10,8,1,3,0,1,0,7,3,0,0,4,0,0,0,0,0,0,5,0,15,1,0,0,0,1,0,0,0,1,0,0,0,10,4,0,652,0,0,1,70,366,0,8,1,3,1,3,0,2,4,0,1,1,7,0,0,0,0,0,0,0,3,0,0,37,0
"Accounting, bookkeeping and auditing services; tax consulting services        ",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,4,1,17,0,16,12,1,3,0,0,136,2,0,6,32,0,0,0,1,1,0,0,13,0,0,0,0,0,0,20,1,137,1,0,1,0,0,0,0,0,2,10,0,0,37,4,0,266,3,0,0,32,0,666,189,13,5,1,4,0,3,7,0,1,2,11,0,0,14,1,0,0,0,1,0,1,31,0
Services of head offices; management consulting services         ,20,0,0,0,18,1,34,12,4,0,0,3,8,6,2,11,24,8,6,3,0,35,7,0,8,8,2,3,13,5,44,41,1,1,4,2,5,12,66,4,30,108,0,31,9,3,27,0,1,25,188,302,2,2,29,0,50,59,827,697,129,44,5,49,120,32,41,168,96,104,430,730,84,"4,351",329,86,0,0,616,64,25,"2,190",150,361,332,138,0,200,117,61,3,7,218,541,477,27,24,16,25,207,119,7,7,24,0
Architectural and engineering services; technical testing and analysis services       ,6,0,1,1,1,5,2,8,2,0,1,1,6,77,0,1,0,20,3,0,3,7,1,1,3,7,17,18,25,21,10,22,45,3,6,0,0,287,38,75,131,54,1,7,42,6,11,0,0,128,1,0,1,0,0,0,"1,806",57,374,9,0,4,0,1,0,0,2,39,1,2,3,59,8,2,475,28,0,3,63,1,0,96,584,52,7,71,0,12,5,0,2,5,100,1,1,0,1,0,0,0,9,0,0,3,0
Scientific research and development services           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,4,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,11,1,0,29,27,434,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising and market research services           ,2,0,0,0,0,0,0,23,5,1,3,3,33,212,0,0,0,0,0,0,0,1,13,0,0,14,3,9,3,6,0,9,0,0,1,0,0,38,31,27,4,12,0,3,7,34,5,0,0,26,0,0,0,0,0,0,0,32,224,4,0,1,55,158,0,0,0,20,20,1,0,53,12,0,305,0,0,0,62,0,0,81,4,22,"2,347",7,0,11,41,0,7,11,40,2,2,3,0,0,0,0,1,0,4,25,0
"Other professional, scientific and technical services          ",0,0,0,0,0,0,0,4,1,0,0,1,3,36,0,0,0,0,0,0,0,1,0,0,0,2,1,1,7,2,0,1,0,0,0,0,0,2,7,1,2,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,1,18,0,0,0,0,0,0,0,0,5,2,0,1,2,1,0,0,1,0,0,4,0,0,5,2,7,47,637,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Veterinary services              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rental and leasing services            ,3,0,1,0,1,41,1,5,1,0,1,1,5,49,0,0,0,14,6,4,3,56,21,0,1,4,3,19,6,7,1,24,89,7,6,0,0,104,63,10,13,84,0,4,6,38,8,0,0,58,0,0,1,1,183,0,638,7,215,7,206,209,523,205,177,20,4,50,52,57,15,222,15,0,0,0,0,0,18,3,4,24,18,70,42,16,0,215,19,0,3,4,21,1,193,207,1,0,1,2,9,0,13,91,0
Employment services              ,4,0,0,0,0,7,0,3,1,0,0,0,2,24,0,0,0,23,15,3,0,8,5,0,0,2,3,18,5,24,0,14,20,2,2,0,0,86,37,8,6,10,0,0,4,6,2,0,0,46,0,0,0,0,0,0,1,45,436,6,0,1,0,0,0,0,0,10,12,0,1,99,8,998,129,364,0,0,44,3,1,18,37,13,3,9,0,15,776,0,1,1,21,0,0,0,0,0,0,0,1,0,9,24,0
"Travel agency, tour operator and other reservation services and related services     ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Security and investigation services            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Services to buildings and landscape           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Office administrative, office support and other business support services       ",0,0,0,0,4,0,71,0,0,0,2,2,0,2,0,2,0,1,2,0,1,1,2,15,3,4,3,0,40,1,96,130,2,18,4,3,0,16,145,50,239,90,0,0,4,4,4,0,0,45,165,164,0,0,137,2,49,271,"1,789",871,42,374,0,46,405,47,107,455,98,243,455,"1,540",89,"3,435",258,223,22,0,281,95,184,"1,201",46,151,227,63,21,126,106,152,4,16,"4,178",560,491,666,241,137,32,56,83,254,10,47,0
Public administration and defence services; compulsory social security services       ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,2,0,0,155,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,382,0,0,11,242,9,0,4,0,1,0,0,0,1,1,26,0,0,0,0,0,0,0,0,0,0,0
